"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"58773","48.58631","-102.66852","Powers Lake","ND","North Dakota","TRUE","","1043","1.3","38013","Burke","{""38013"": 68.91, ""38061"": 31.09}","Burke|Mountrail","38013|38061","FALSE","FALSE","America/Chicago"
"58775","47.71424","-101.85203","Roseglen","ND","North Dakota","TRUE","","193","1.0","38055","McLean","{""38055"": 100}","McLean","38055","FALSE","FALSE","America/Chicago"
"58776","48.25079","-102.61543","Ross","ND","North Dakota","TRUE","","325","0.9","38061","Mountrail","{""38061"": 100}","Mountrail","38061","FALSE","FALSE","America/Chicago"
"58778","47.78307","-100.91268","Ruso","ND","North Dakota","TRUE","","110","0.3","38055","McLean","{""38055"": 92.19, ""38049"": 7.81}","McLean|McHenry","38055|38049","FALSE","FALSE","America/Chicago"
"58779","47.85507","-101.7621","Ryder","ND","North Dakota","TRUE","","350","0.5","38055","McLean","{""38055"": 53.27, ""38101"": 46.73}","McLean|Ward","38055|38101","FALSE","FALSE","America/Chicago"
"58781","48.02451","-101.13468","Sawyer","ND","North Dakota","TRUE","","551","1.9","38101","Ward","{""38101"": 100}","Ward","38101","FALSE","FALSE","America/Chicago"
"58782","48.94055","-101.71325","Sherwood","ND","North Dakota","TRUE","","570","1.2","38075","Renville","{""38075"": 92.68, ""38009"": 7.32}","Renville|Bottineau","38075|38009","FALSE","FALSE","America/Chicago"
"58783","48.88375","-100.75035","Souris","ND","North Dakota","TRUE","","409","0.6","38009","Bottineau","{""38009"": 100}","Bottineau","38009","FALSE","FALSE","America/Chicago"
"58784","48.36212","-102.42273","Stanley","ND","North Dakota","TRUE","","2688","3.0","38061","Mountrail","{""38061"": 89.78, ""38013"": 10.22}","Mountrail|Burke","38061|38013","FALSE","FALSE","America/Chicago"
"58785","48.31121","-101.09706","Surrey","ND","North Dakota","TRUE","","1509","14.3","38101","Ward","{""38101"": 100}","Ward","38101","FALSE","FALSE","America/Chicago"
"58787","48.76057","-101.80832","Tolley","ND","North Dakota","TRUE","","122","0.5","38075","Renville","{""38075"": 100}","Renville","38075","FALSE","FALSE","America/Chicago"
"58788","48.33198","-100.48045","Towner","ND","North Dakota","TRUE","","837","0.6","38049","McHenry","{""38049"": 96.88, ""38069"": 3.12}","McHenry|Pierce","38049|38069","FALSE","FALSE","America/Chicago"
"58789","48.54778","-100.81898","Upham","ND","North Dakota","TRUE","","323","0.7","38049","McHenry","{""38049"": 90.31, ""38009"": 9.69}","McHenry|Bottineau","38049|38009","FALSE","FALSE","America/Chicago"
"58790","48.03071","-100.93952","Velva","ND","North Dakota","TRUE","","1600","3.3","38049","McHenry","{""38049"": 78.72, ""38101"": 21.28}","McHenry|Ward","38049|38101","FALSE","FALSE","America/Chicago"
"58792","47.97385","-100.7424","Voltaire","ND","North Dakota","TRUE","","212","0.5","38049","McHenry","{""38049"": 100}","McHenry","38049","FALSE","FALSE","America/Chicago"
"58793","48.86442","-101.05424","Westhope","ND","North Dakota","TRUE","","560","1.3","38009","Bottineau","{""38009"": 100}","Bottineau","38009","FALSE","FALSE","America/Chicago"
"58794","48.25916","-102.76683","White Earth","ND","North Dakota","TRUE","","244","1.0","38061","Mountrail","{""38061"": 100}","Mountrail","38061","FALSE","FALSE","America/Chicago"
"58795","48.64198","-103.15094","Wildrose","ND","North Dakota","TRUE","","147","0.3","38023","Divide","{""38023"": 53.85, ""38105"": 46.15}","Divide|Williams","38023|38105","FALSE","FALSE","America/Chicago"
"58801","48.23522","-103.76747","Williston","ND","North Dakota","TRUE","","33088","17.8","38105","Williams","{""38105"": 100}","Williams","38105","FALSE","FALSE","America/Chicago"
"58830","48.60272","-103.46608","Alamo","ND","North Dakota","TRUE","","273","0.3","38105","Williams","{""38105"": 59.81, ""38023"": 40.19}","Williams|Divide","38105|38023","FALSE","FALSE","America/Chicago"
"58831","47.84878","-103.65843","Alexander","ND","North Dakota","TRUE","","1282","1.2","38053","McKenzie","{""38053"": 100}","McKenzie","38053","FALSE","FALSE","America/Chicago"
"58833","48.89186","-103.52517","Ambrose","ND","North Dakota","TRUE","","229","0.9","38023","Divide","{""38023"": 100}","Divide","38023","FALSE","FALSE","America/Chicago"
"58835","47.7328","-103.45268","Arnegard","ND","North Dakota","TRUE","","992","1.6","38053","McKenzie","{""38053"": 100}","McKenzie","38053","FALSE","FALSE","America/Chicago"
"58838","47.7721","-103.90289","Cartwright","ND","North Dakota","TRUE","","312","0.5","38053","McKenzie","{""38053"": 100}","McKenzie","38053","FALSE","FALSE","America/Denver"
"58843","48.23141","-103.38142","Epping","ND","North Dakota","TRUE","","852","1.5","38105","Williams","{""38105"": 100}","Williams","38105","FALSE","FALSE","America/Chicago"
"58844","48.89167","-103.74304","Fortuna","ND","North Dakota","TRUE","","81","0.2","38023","Divide","{""38023"": 100}","Divide","38023","FALSE","FALSE","America/Chicago"
"58845","48.63928","-103.92207","Grenora","ND","North Dakota","TRUE","","671","1.0","38105","Williams","{""38105"": 50.29, ""38023"": 49.71}","Williams|Divide","38105|38023","FALSE","FALSE","America/Chicago"
"58847","47.89012","-102.90094","Keene","ND","North Dakota","TRUE","","320","0.7","38053","McKenzie","{""38053"": 100}","McKenzie","38053","FALSE","FALSE","America/Chicago"
"58849","48.30906","-103.15697","Ray","ND","North Dakota","TRUE","","1137","1.5","38105","Williams","{""38105"": 100}","Williams","38105","FALSE","FALSE","America/Chicago"
"58852","48.38037","-102.93276","Tioga","ND","North Dakota","TRUE","","1807","2.2","38105","Williams","{""38105"": 78.95, ""38061"": 21.05}","Williams|Mountrail","38105|38061","FALSE","FALSE","America/Chicago"
"58853","48.06237","-103.78588","Trenton","ND","North Dakota","TRUE","","416","10.9","38105","Williams","{""38105"": 100}","Williams","38105","FALSE","FALSE","America/Chicago"
"58854","47.81412","-103.15229","Watford City","ND","North Dakota","TRUE","","8505","4.9","38053","McKenzie","{""38053"": 92.35, ""38025"": 7.65}","McKenzie|Dunn","38053|38025","FALSE","FALSE","America/Chicago"
"58856","48.59123","-103.72546","Zahl","ND","North Dakota","TRUE","","54","0.1","38105","Williams","{""38105"": 66.32, ""38023"": 33.68}","Williams|Divide","38105|38023","FALSE","FALSE","America/Chicago"
"59001","45.52952","-109.54022","Absarokee","MT","Montana","TRUE","","1341","3.6","30095","Stillwater","{""30095"": 94.29, ""30009"": 5.71}","Stillwater|Carbon","30095|30009","FALSE","FALSE","America/Denver"
"59002","45.99832","-108.6649","Acton","MT","Montana","TRUE","","162","0.8","30111","Yellowstone","{""30111"": 100}","Yellowstone","30111","FALSE","FALSE","America/Denver"
"59003","45.48179","-106.20153","Ashland","MT","Montana","TRUE","","1128","0.6","30075","Powder River","{""30075"": 61.44, ""30087"": 38.56}","Powder River|Rosebud","30075|30087","FALSE","FALSE","America/Denver"
"59006","45.90755","-108.08535","Ballantine","MT","Montana","TRUE","","1364","8.5","30111","Yellowstone","{""30111"": 100}","Yellowstone","30111","FALSE","FALSE","America/Denver"
"59007","45.15555","-109.15805","Bearcreek","MT","Montana","TRUE","","171","2.1","30009","Carbon","{""30009"": 100}","Carbon","30009","FALSE","FALSE","America/Denver"
"59008","45.07982","-109.07496","Belfry","MT","Montana","TRUE","","385","1.2","30009","Carbon","{""30009"": 100}","Carbon","30009","FALSE","FALSE","America/Denver"
"59010","45.97505","-107.3037","Bighorn","MT","Montana","TRUE","","183","0.2","30103","Treasure","{""30103"": 54.95, ""30003"": 45.05}","Treasure|Big Horn","30103|30003","FALSE","FALSE","America/Denver"
"59011","45.92453","-109.97244","Big Timber","MT","Montana","TRUE","","3093","1.3","30097","Sweet Grass","{""30097"": 100}","Sweet Grass","30097","FALSE","FALSE","America/Denver"
"59012","45.29922","-106.6006","Birney","MT","Montana","TRUE","","81","0.1","30087","Rosebud","{""30087"": 100}","Rosebud","30087","FALSE","FALSE","America/Denver"
"59013","45.46131","-109.08054","Boyd","MT","Montana","TRUE","","151","13.5","30009","Carbon","{""30009"": 100}","Carbon","30009","FALSE","FALSE","America/Denver"
"59014","45.15351","-108.66421","Bridger","MT","Montana","TRUE","","1692","0.9","30009","Carbon","{""30009"": 100}","Carbon","30009","FALSE","FALSE","America/Denver"
"59015","46.08464","-108.83464","Broadview","MT","Montana","TRUE","","353","0.5","30111","Yellowstone","{""30111"": 51.74, ""30095"": 28.85, ""30065"": 19.41}","Yellowstone|Stillwater|Musselshell","30111|30095|30065","FALSE","FALSE","America/Denver"
"59016","45.41871","-106.93872","Busby","MT","Montana","TRUE","","931","0.9","30003","Big Horn","{""30003"": 100}","Big Horn","30003","FALSE","FALSE","America/Denver"
"59018","45.85791","-110.62326","Clyde Park","MT","Montana","TRUE","","558","1.2","30067","Park","{""30067"": 100}","Park","30067","FALSE","FALSE","America/Denver"
"59019","45.62995","-109.24208","Columbus","MT","Montana","TRUE","","4038","5.1","30095","Stillwater","{""30095"": 97.83, ""30009"": 2.17}","Stillwater|Carbon","30095|30009","FALSE","FALSE","America/Denver"
"59020","45.08831","-110.01499","Cooke City","MT","Montana","TRUE","","87","0.1","30067","Park","{""30067"": 100}","Park","30067","FALSE","FALSE","America/Denver"
"59022","45.57541","-107.26756","Crow Agency","MT","Montana","TRUE","","2115","5.2","30003","Big Horn","{""30003"": 100}","Big Horn","30003","FALSE","FALSE","America/Denver"
"59024","46.20549","-107.71464","Custer","MT","Montana","TRUE","","334","0.3","30111","Yellowstone","{""30111"": 92.12, ""30003"": 7.88}","Yellowstone|Big Horn","30111|30003","FALSE","FALSE","America/Denver"
"59025","45.09503","-106.7178","Decker","MT","Montana","TRUE","","39","0.0","30003","Big Horn","{""30003"": 100}","Big Horn","30003","FALSE","FALSE","America/Denver"
"59026","45.46385","-108.78392","Edgar","MT","Montana","TRUE","","147","2.5","30009","Carbon","{""30009"": 100}","Carbon","30009","FALSE","FALSE","America/Denver"
"59027","45.26118","-110.90674","Emigrant","MT","Montana","TRUE","","859","1.4","30067","Park","{""30067"": 100}","Park","30067","FALSE","FALSE","America/Denver"
"59028","45.32093","-109.7434","Fishtail","MT","Montana","TRUE","","529","0.6","30095","Stillwater","{""30095"": 100}","Stillwater","30095","FALSE","FALSE","America/Denver"
"59029","45.4085","-108.80467","Fromberg","MT","Montana","TRUE","","795","3.2","30009","Carbon","{""30009"": 100}","Carbon","30009","FALSE","FALSE","America/Denver"
"59030","45.08882","-110.59376","Gardiner","MT","Montana","TRUE","","1287","1.0","30067","Park","{""30067"": 100}","Park","30067","FALSE","FALSE","America/Denver"
"59031","45.50005","-107.37964","Garryowen","MT","Montana","TRUE","","535","2.0","30003","Big Horn","{""30003"": 100}","Big Horn","30003","FALSE","FALSE","America/Denver"
"59032","47.0106","-108.75808","Grass Range","MT","Montana","TRUE","","411","0.3","30027","Fergus","{""30027"": 76.55, ""30069"": 23.45}","Fergus|Petroleum","30027|30069","FALSE","FALSE","America/Denver"
"59033","45.72296","-109.73246","Greycliff","MT","Montana","TRUE","","142","1.6","30097","Sweet Grass","{""30097"": 100}","Sweet Grass","30097","FALSE","FALSE","America/Denver"
"59034","45.70121","-107.7078","Hardin","MT","Montana","TRUE","","5257","2.6","30003","Big Horn","{""30003"": 100}","Big Horn","30003","FALSE","FALSE","America/Denver"
"59035","45.29814","-107.96042","Fort Smith","MT","Montana","TRUE","","261","1.1","30003","Big Horn","{""30003"": 100}","Big Horn","30003","FALSE","FALSE","America/Denver"
